,Company,Date,Revenue,Net Income,Revenue (B),Net Income (B),Year,Month,Month Name,Revenue Growth (%),Net Income Growth (%),Revenue Change,Revenue Change (B),Revenue Drop?
0,AAPL,2020-09-26,274515000000,57411000000,274.515,57.411,2020,9,September,,,,,No
1,AAPL,2021-09-25,365817000000,94680000000,365.817,94.68,2021,9,September,33.259384733074704,64.9161310550243,91302000000.0,91.302,No
2,AAPL,2022-09-24,394328000000,99803000000,394.328,99.803,2022,9,September,7.79378760418461,5.410857625686516,28511000000.0,28.511,No
3,AAPL,2023-09-30,383285000000,96995000000,383.285,96.995,2023,9,September,-2.800460530319937,-2.813542679077785,-11043000000.0,-11.043,Yes
4,AAPL,2024-09-28,391035000000,93736000000,391.035,93.736,2024,9,September,2.021994077514111,-3.3599670086086886,7750000000.0,7.75,No
5,AMZN,2020-12-31,386064000000,21331000000,386.064,21.331,2020,12,December,,,,,No
6,AMZN,2021-12-31,469822000000,33364000000,469.822,33.364,2021,12,December,21.695366571345676,56.41085743753222,83758000000.0,83.758,No
7,AMZN,2022-12-31,513983000000,-2722000000,513.983,-2.722,2022,12,December,9.399517263985091,-108.15849418534948,44161000000.0,44.161,No
8,AMZN,2023-12-31,574785000000,30425000000,574.785,30.425,2023,12,December,11.82957412988368,-1217.7443056576046,60802000000.0,60.802,No
9,AMZN,2024-12-31,637959000000,59248000000,637.959,59.248,2024,12,December,10.990892246666139,94.73459326211997,63174000000.0,63.174,No
10,GOOGL,2020-12-31,182527000000,40269000000,182.527,40.269,2020,12,December,,,,,No
11,GOOGL,2021-12-31,257637000000,76033000000,257.637,76.033,2021,12,December,41.15007642704916,88.81273436141946,75110000000.0,75.11,No
12,GOOGL,2022-12-31,282836000000,59972000000,282.836,59.972,2022,12,December,9.78081564371578,-21.12372259413675,25199000000.0,25.199,No
13,GOOGL,2023-12-31,307394000000,73795000000,307.394,73.795,2023,12,December,8.68277022726951,23.049089575135074,24558000000.0,24.558,No
14,GOOGL,2024-12-31,350018000000,100118000000,350.018,100.118,2024,12,December,13.86624332290156,35.67043837658377,42624000000.0,42.624,No
15,META,2020-12-31,85965000000,29146000000,85.965,29.146,2020,12,December,,,,,No
16,META,2021-12-31,117929000000,39370000000,117.929,39.37,2021,12,December,37.182574303495606,35.078569958141756,31964000000.0,31.964,No
17,META,2022-12-31,116609000000,23200000000,116.609,23.2,2022,12,December,-1.1193175554782941,-41.071882143764284,-1320000000.0,-1.32,Yes
18,META,2023-12-31,134902000000,39098000000,134.902,39.098,2023,12,December,15.687468377226455,68.52586206896551,18293000000.0,18.293,No
19,META,2024-12-31,164501000000,62360000000,164.501,62.36,2024,12,December,21.941112807816054,59.496649444984406,29599000000.0,29.599,No
20,MSFT,2020-06-30,143015000000,44281000000,143.015,44.281,2020,6,June,,,,,No
21,MSFT,2021-06-30,168088000000,61271000000,168.088,61.271,2021,6,June,17.5317274411775,38.36860052844335,25073000000.0,25.073,No
22,MSFT,2022-06-30,198270000000,72738000000,198.27,72.738,2022,6,June,17.956070629670172,18.71521600757291,30182000000.0,30.182,No
23,MSFT,2023-06-30,211915000000,72361000000,211.915,72.361,2023,6,June,6.8820295556564215,-0.5182985509637361,13645000000.0,13.645,No
24,MSFT,2024-06-30,245122000000,88136000000,245.122,88.136,2024,6,June,15.66996201307127,21.800417351888445,33207000000.0,33.207,No
